id_event,datetime,country_code,event_code,day,month,year
1025931845,2022-01-31,HU,46,31,1,2022
1025931846,2022-01-31,US,70,31,1,2022
1025931847,2022-01-31,CA,71,31,1,2022
1025931848,2022-01-31,US,71,31,1,2022
1025931849,2022-01-31,US,841,31,1,2022
1025931850,2022-01-31,BG,874,31,1,2022
1025931851,2022-01-31,,1043,31,1,2022
1025931852,2022-01-31,CA,120,31,1,2022
1025931853,2022-01-31,NZ,1712,31,1,2022
1025931854,2022-01-31,CA,1712,31,1,2022
1025931855,2022-01-31,CA,192,31,1,2022
1025931856,2022-01-31,UK,90,31,1,2022
1025931857,2022-01-31,,10,31,1,2022
1025931858,2022-01-31,UK,40,31,1,2022
1025931859,2022-01-31,UK,46,31,1,2022
1025931860,2022-01-31,UK,111,31,1,2022
1025931861,2022-01-31,VC,46,31,1,2022
1025931862,2022-01-31,VC,46,31,1,2022
1025931863,2022-01-31,UK,46,31,1,2022
1025931864,2022-01-31,,70,31,1,2022
1025931865,2022-01-31,IN,841,31,1,2022
1025931866,2022-01-31,CA,10,31,1,2022
1025931867,2022-01-31,CA,12,31,1,2022
1025931868,2022-01-31,CA,20,31,1,2022
1025931869,2022-01-31,US,50,31,1,2022
1025931870,2022-01-31,CA,51,31,1,2022
1025931871,2022-01-31,US,51,31,1,2022
1025931872,2022-01-31,AS,20,31,1,2022
1025931873,2022-01-31,US,130,31,1,2022
1025931874,2022-01-31,BG,874,31,1,2022
1025931875,2022-01-31,ID,13,31,1,2022
1025931876,2022-01-31,ID,13,31,1,2022
1025931877,2022-01-31,,10,31,1,2022
1025931878,2022-01-31,NL,20,31,1,2022
1025931879,2022-01-31,US,42,31,1,2022
1025931880,2022-01-31,US,70,31,1,2022
1025931881,2022-01-31,VC,46,31,1,2022
1025931882,2022-01-31,CA,40,31,1,2022
1025931883,2022-01-31,CA,43,31,1,2022
1025931884,2022-01-31,CA,51,31,1,2022
1025931885,2022-01-31,UK,51,31,1,2022
1025931886,2022-01-31,CA,111,31,1,2022
1025931887,2022-01-31,CA,130,31,1,2022
1025931888,2022-01-31,CA,51,31,1,2022
1025931889,2022-01-31,CA,46,31,1,2022
1025931890,2022-01-31,CA,43,31,1,2022
1025931891,2022-01-31,CH,13,31,1,2022
1025931892,2022-01-31,CA,111,31,1,2022
1025931893,2022-01-31,CA,111,31,1,2022
1025931894,2022-01-31,CA,114,31,1,2022
1025931895,2022-01-31,CA,46,31,1,2022
1025931896,2022-01-31,CA,20,31,1,2022
1025931897,2022-01-31,CA,42,31,1,2022
1025931898,2022-01-31,US,42,31,1,2022
1025931899,2022-01-31,US,42,31,1,2022
1025931900,2022-01-31,CA,110,31,1,2022
1025931901,2022-01-31,CA,110,31,1,2022
1025931902,2022-01-31,US,110,31,1,2022
1025931903,2022-01-31,UK,42,31,1,2022
1025931904,2022-01-31,CA,43,31,1,2022
1025931905,2022-01-31,UK,43,31,1,2022
1025931906,2022-01-31,UK,43,31,1,2022
1025931907,2022-01-31,CA,42,31,1,2022
1025931908,2022-01-31,CH,13,31,1,2022
1025931909,2022-01-31,CA,43,31,1,2022
1025931910,2022-01-31,CA,25,31,1,2022
1025931911,2022-01-31,CA,111,31,1,2022
1025931912,2022-01-31,CA,110,31,1,2022
1025931913,2022-01-31,CA,192,31,1,2022
1025931914,2022-01-31,DA,10,31,1,2022
1025931915,2022-01-31,US,10,31,1,2022
1025931916,2022-01-31,CA,42,31,1,2022
1025931917,2022-01-31,US,42,31,1,2022
1025931918,2022-01-31,CA,46,31,1,2022
1025931919,2022-01-31,CA,841,31,1,2022
1025931920,2022-01-31,CA,42,31,1,2022
1025931921,2022-01-31,CH,13,31,1,2022
1025931922,2022-01-31,CA,114,31,1,2022
1025931923,2022-01-31,CA,43,31,1,2022
1025931924,2022-01-31,US,40,31,1,2022
1025931925,2022-01-31,MX,173,31,1,2022
1025931926,2022-01-31,MX,173,31,1,2022
1025931927,2022-01-31,MX,173,31,1,2022
1025931928,2022-01-31,CH,10,31,1,2022
1025931929,2022-01-31,CH,10,31,1,2022
1025931930,2022-01-31,CH,10,31,1,2022
1025931931,2022-01-31,CH,43,31,1,2022
1025931932,2022-01-31,AS,841,31,1,2022
1025931933,2022-01-31,CH,90,31,1,2022
1025931934,2022-01-31,CH,90,31,1,2022
1025931935,2022-01-31,CH,90,31,1,2022
1025931936,2022-01-31,CH,90,31,1,2022
1025931937,2022-01-31,CH,143,31,1,2022
1025931938,2022-01-31,TW,172,31,1,2022
1025931939,2022-01-31,CH,20,31,1,2022
1025931940,2022-01-31,CH,16,31,1,2022
1025931941,2022-01-31,CH,10,31,1,2022
1025931942,2022-01-31,CH,13,31,1,2022
1025931943,2022-01-31,CH,16,31,1,2022
1025931944,2022-01-31,CH,16,31,1,2022
1025931945,2022-01-31,CH,16,31,1,2022
1025931946,2022-01-31,CH,12,31,1,2022
1025931947,2022-01-31,US,12,31,1,2022
1025931948,2022-01-31,CH,172,31,1,2022
1025931949,2022-01-31,CH,16,31,1,2022
1025931950,2022-01-31,CH,172,31,1,2022
1025931951,2022-01-31,CH,16,31,1,2022
1025931952,2022-01-31,EG,10,31,1,2022
1025931953,2022-01-31,FR,62,31,1,2022
1025931954,2022-01-31,EG,80,31,1,2022
1025931955,2022-01-31,US,80,31,1,2022
1025931956,2022-01-31,FR,62,31,1,2022
1025931957,2022-01-31,UK,173,31,1,2022
1025931958,2022-01-31,UK,172,31,1,2022
1025931959,2022-01-31,UK,173,31,1,2022
1025931960,2022-01-31,VM,1823,31,1,2022
1025931961,2022-01-31,SP,12,31,1,2022
1025931962,2022-01-31,US,42,31,1,2022
1025931963,2022-01-31,US,60,31,1,2022
1025931964,2022-01-31,US,43,31,1,2022
1025931965,2022-01-31,US,333,31,1,2022
1025931966,2022-01-31,US,333,31,1,2022
1025931967,2022-01-31,FI,10,31,1,2022
1025931968,2022-01-31,US,333,31,1,2022
1025931969,2022-01-31,US,333,31,1,2022
1025931970,2022-01-31,US,10,31,1,2022
1025931971,2022-01-31,US,10,31,1,2022
1025931972,2022-01-31,US,12,31,1,2022
1025931973,2022-01-31,,25,31,1,2022
1025931974,2022-01-31,US,30,31,1,2022
1025931975,2022-01-31,IN,80,31,1,2022
1025931976,2022-01-31,US,874,31,1,2022
1025931977,2022-01-31,US,90,31,1,2022
1025931978,2022-01-31,US,90,31,1,2022
1025931979,2022-01-31,US,90,31,1,2022
1025931980,2022-01-31,IN,114,31,1,2022
1025931981,2022-01-31,US,120,31,1,2022
1025931982,2022-01-31,US,171,31,1,2022
1025931983,2022-01-31,CH,1711,31,1,2022
1025931984,2022-01-31,CH,1711,31,1,2022
1025931985,2022-01-31,CH,173,31,1,2022
1025931986,2022-01-31,CH,173,31,1,2022
1025931987,2022-01-31,CH,173,31,1,2022
1025931988,2022-01-31,US,173,31,1,2022
1025931989,2022-01-31,US,180,31,1,2022
1025931990,2022-01-31,US,180,31,1,2022
1025931991,2022-01-31,US,1822,31,1,2022
1025931992,2022-01-31,HA,1822,31,1,2022
1025931993,2022-01-31,HA,1822,31,1,2022
1025931994,2022-01-31,US,190,31,1,2022
1025931995,2022-01-31,US,193,31,1,2022
1025931996,2022-01-31,SF,90,31,1,2022
1025931997,2022-01-31,AS,42,31,1,2022
1025931998,2022-01-31,CH,153,31,1,2022
1025931999,2022-01-31,CH,153,31,1,2022
1025932000,2022-01-31,RS,111,31,1,2022
1025932001,2022-01-31,UK,20,31,1,2022
1025932002,2022-01-31,,42,31,1,2022
1025932003,2022-01-31,IN,180,31,1,2022
1025932004,2022-01-31,MZ,193,31,1,2022
1025932005,2022-01-31,BR,193,31,1,2022
1025932006,2022-01-31,RS,141,31,1,2022
1025932007,2022-01-31,RW,193,31,1,2022
1025932008,2022-01-31,RW,193,31,1,2022
1025932009,2022-01-31,MZ,193,31,1,2022
1025932010,2022-01-31,TZ,193,31,1,2022
1025932011,2022-01-31,US,10,31,1,2022
1025932012,2022-01-31,US,12,31,1,2022
1025932013,2022-01-31,US,42,31,1,2022
1025932014,2022-01-31,US,84,31,1,2022
1025932015,2022-01-31,US,90,31,1,2022
1025932016,2022-01-31,US,90,31,1,2022
1025932017,2022-01-31,US,90,31,1,2022
1025932018,2022-01-31,US,173,31,1,2022
1025932019,2022-01-31,US,173,31,1,2022
1025932020,2022-01-31,US,180,31,1,2022
1025932021,2022-01-31,US,180,31,1,2022
1025932022,2022-01-31,US,180,31,1,2022
1025932023,2022-01-31,US,190,31,1,2022
1025932024,2022-01-31,US,193,31,1,2022
1025932025,2022-01-31,US,90,31,1,2022
1025932026,2022-01-31,SF,90,31,1,2022
1025932027,2022-01-31,CA,46,31,1,2022
1025932028,2022-01-31,UK,12,31,1,2022
1025932029,2022-01-31,US,20,31,1,2022
1025932030,2022-01-31,MX,130,31,1,2022
1025932031,2022-01-31,MX,130,31,1,2022
1025932032,2022-01-31,CI,130,31,1,2022
1025932033,2022-01-31,US,173,31,1,2022
1025932034,2022-01-31,US,71,31,1,2022
1025932035,2022-01-31,US,145,31,1,2022
1025932036,2022-01-31,CH,10,31,1,2022
1025932037,2022-01-31,US,10,31,1,2022
1025932038,2022-01-31,US,36,31,1,2022
1025932039,2022-01-31,HA,43,31,1,2022
1025932040,2022-01-31,VC,51,31,1,2022
1025932041,2022-01-31,US,70,31,1,2022
1025932042,2022-01-31,AE,72,31,1,2022
1025932043,2022-01-31,JO,112,31,1,2022
1025932044,2022-01-31,US,120,31,1,2022
1025932045,2022-01-31,SP,125,31,1,2022
1025932046,2022-01-31,SZ,125,31,1,2022
1025932047,2022-01-31,CH,141,31,1,2022
1025932048,2022-01-31,DA,190,31,1,2022
1025932049,2022-01-31,GM,193,31,1,2022
1025932050,2022-01-31,CA,43,31,1,2022
1025932051,2022-01-31,US,43,31,1,2022
1025932052,2022-01-31,US,43,31,1,2022
1025932053,2022-01-31,CH,141,31,1,2022
1025932054,2022-01-31,,1712,31,1,2022
1025932055,2022-01-31,US,333,31,1,2022
1025932056,2022-01-31,US,10,31,1,2022
1025932057,2022-01-31,US,130,31,1,2022
